,name,vn_kv,type,zone,in_service,max_vm_pu,min_vm_pu,Zone,Regen,Gen,Load
0,1,115,b,1,TRUE,1.06,0.94,4,0,0,1
1,2,115,b,1,TRUE,1.06,0.94,4,0,0,1
2,3,230,b,1,TRUE,1.06,0.94,4,0,0,1
3,4,345,b,1,TRUE,1.06,0.94,2,0,0,0
4,5,115,b,1,TRUE,1.06,0.94,4,0,0,1
5,6,115,b,1,TRUE,1.06,0.94,4,0,0,1
6,7,230,b,1,TRUE,1.06,0.94,4,1,1,0
7,8,115,b,1,TRUE,1.06,0.94,4,0,0,1
8,9,115,b,1,TRUE,1.06,0.94,4,1,1,1
9,10,230,b,1,TRUE,1.06,0.94,4,0,0,1
10,11,115,b,1,TRUE,1.06,0.94,4,0,0,1
11,12,230,b,1,TRUE,1.06,0.94,4,0,0,0
12,13,115,b,1,TRUE,1.06,0.94,4,0,0,1
13,14,115,b,1,TRUE,1.06,0.94,2,0,0,1
14,15,115,b,1,TRUE,1.06,0.94,2,0,0,1
15,16,345,b,1,TRUE,1.06,0.94,2,0,0,0
16,17,115,b,1,TRUE,1.06,0.94,2,0,0,1
17,19,230,b,1,TRUE,1.06,0.94,4,1,1,0
18,20,115,b,1,TRUE,1.06,0.94,4,0,0,1
19,21,230,b,1,TRUE,1.06,0.94,4,0,0,1
20,22,115,b,1,TRUE,1.06,0.94,4,0,0,1
21,23,115,b,1,TRUE,1.06,0.94,4,0,0,1
22,24,230,b,1,TRUE,1.06,0.94,4,0,0,0
23,25,115,b,1,TRUE,1.06,0.94,4,0,0,1
24,26,115,b,1,TRUE,1.06,0.94,4,0,0,1
25,27,115,b,1,TRUE,1.06,0.94,4,0,0,1
26,33,115,b,1,TRUE,1.06,0.94,2,0,0,1
27,34,345,b,1,TRUE,1.06,0.94,2,0,0,0
28,35,115,b,1,TRUE,1.06,0.94,3,0,0,0
29,36,230,b,1,TRUE,1.06,0.94,3,0,0,0
30,37,115,b,1,TRUE,1.06,0.94,2,0,0,1
31,38,115,b,1,TRUE,1.06,0.94,2,0,0,1
32,39,345,b,1,TRUE,1.06,0.94,2,0,0,0
33,40,115,b,1,TRUE,1.06,0.94,2,0,0,1
34,41,115,b,1,TRUE,1.06,0.94,2,0,0,1
35,42,345,b,1,TRUE,1.06,0.94,2,0,0,0
36,43,115,b,1,TRUE,1.06,0.94,2,0,0,1
37,44,115,b,1,TRUE,1.06,0.94,3,0,0,1
38,45,230,b,1,TRUE,1.06,0.94,3,0,0,0
39,46,345,b,1,TRUE,1.06,0.94,3,0,0,0
40,47,115,b,1,TRUE,1.06,0.94,3,0,0,1
41,48,115,b,1,TRUE,1.06,0.94,2,0,0,1
42,49,115,b,1,TRUE,1.06,0.94,2,0,0,1
43,51,115,b,1,TRUE,1.06,0.94,2,0,0,0
44,52,115,b,1,TRUE,1.06,0.94,3,0,0,1
45,53,115,b,1,TRUE,1.06,0.94,3,0,0,1
46,54,115,b,1,TRUE,1.06,0.94,3,0,0,1
47,55,115,b,1,TRUE,1.06,0.94,3,0,0,1
48,57,115,b,1,TRUE,1.06,0.94,3,0,0,1
49,58,115,b,1,TRUE,1.06,0.94,3,0,0,1
50,59,115,b,1,TRUE,1.06,0.94,3,0,0,1
51,60,230,b,1,TRUE,1.06,0.94,3,0,0,0
52,61,115,b,1,TRUE,1.06,0.94,3,0,0,1
53,62,230,b,1,TRUE,1.06,0.94,3,0,1,0
54,63,115,b,1,TRUE,1.06,0.94,3,0,0,1
55,64,230,b,1,TRUE,1.06,0.94,3,0,0,0
56,69,115,b,1,TRUE,1.06,0.94,1,0,0,0
57,70,115,b,1,TRUE,1.06,0.94,3,0,0,1
58,71,115,b,1,TRUE,1.06,0.94,3,0,0,1
59,72,115,b,1,TRUE,1.06,0.94,3,0,0,1
60,73,115,b,1,TRUE,1.06,0.94,3,0,0,1
61,74,230,b,1,TRUE,1.06,0.94,3,0,1,0
62,76,115,b,1,TRUE,1.06,0.94,3,0,0,1
63,77,115,b,1,TRUE,1.06,0.94,3,0,0,1
64,78,115,b,1,TRUE,1.06,0.94,3,0,0,0
65,79,115,b,1,TRUE,1.06,0.94,3,0,0,1
66,80,115,b,1,TRUE,1.06,0.94,1,0,0,1
67,81,345,b,1,TRUE,1.06,0.94,3,0,1,0
68,84,115,b,1,TRUE,1.06,0.94,3,0,0,1
69,85,230,b,1,TRUE,1.06,0.94,2,0,0,0
70,86,230,b,1,TRUE,1.06,0.94,2,0,0,0
71,87,230,b,1,TRUE,1.06,0.94,4,0,0,0
72,88,230,b,1,TRUE,1.06,0.94,3,0,0,0
73,89,115,b,1,TRUE,1.06,0.94,2,0,0,1
74,90,115,b,1,TRUE,1.06,0.94,2,0,1,1
75,91,115,b,1,TRUE,1.06,0.94,2,0,1,1
76,92,115,b,1,TRUE,1.06,0.94,2,0,0,1
77,94,115,b,1,TRUE,1.06,0.94,2,0,0,1
78,97,115,b,1,TRUE,1.06,0.94,2,1,1,1
79,98,115,b,1,TRUE,1.06,0.94,2,0,0,1
80,99,115,b,1,TRUE,1.06,0.94,2,0,0,1
81,100,115,b,1,TRUE,1.06,0.94,2,0,0,0
82,102,115,b,1,TRUE,1.06,0.94,2,0,0,1
83,103,115,b,1,TRUE,1.06,0.94,2,0,0,1
84,104,115,b,1,TRUE,1.06,0.94,2,0,0,1
85,105,115,b,1,TRUE,1.06,0.94,2,0,0,1
86,107,115,b,1,TRUE,1.06,0.94,2,0,1,1
87,108,115,b,1,TRUE,1.06,0.94,2,0,0,1
88,109,115,b,1,TRUE,1.06,0.94,2,0,0,1
89,110,115,b,1,TRUE,1.06,0.94,2,0,0,1
90,112,115,b,1,TRUE,1.06,0.94,2,0,0,1
91,113,115,b,1,TRUE,1.06,0.94,3,0,0,1
92,114,115,b,1,TRUE,1.06,0.94,2,0,0,1
93,115,115,b,1,TRUE,1.06,0.94,4,0,0,0
94,116,115,b,1,TRUE,1.06,0.94,4,0,0,0
95,117,115,b,1,TRUE,1.06,0.94,4,0,0,0
96,118,115,b,1,TRUE,1.06,0.94,4,0,1,1
97,119,115,b,1,TRUE,1.06,0.94,4,0,0,0
98,120,115,b,1,TRUE,1.06,0.94,4,0,0,1
99,121,115,b,1,TRUE,1.06,0.94,4,0,0,1
100,122,115,b,1,TRUE,1.06,0.94,4,0,0,1
101,123,115,b,1,TRUE,1.06,0.94,4,0,1,1
102,124,115,b,1,TRUE,1.06,0.94,4,0,1,1
103,125,115,b,1,TRUE,1.06,0.94,4,0,0,1
104,126,115,b,1,TRUE,1.06,0.94,4,0,0,1
105,127,230,b,1,TRUE,1.06,0.94,4,0,0,1
106,128,230,b,1,TRUE,1.06,0.94,4,0,0,0
107,129,230,b,1,TRUE,1.06,0.94,4,0,0,0
108,130,230,b,1,TRUE,1.06,0.94,4,0,0,0
109,131,230,b,1,TRUE,1.06,0.94,4,0,0,0
110,132,230,b,1,TRUE,1.06,0.94,4,0,0,0
111,133,230,b,1,TRUE,1.06,0.94,4,0,0,0
112,134,230,b,1,TRUE,1.06,0.94,4,0,0,0
113,135,230,b,1,TRUE,1.06,0.94,4,0,0,1
114,136,230,b,1,TRUE,1.06,0.94,4,0,0,1
115,137,230,b,1,TRUE,1.06,0.94,4,0,1,1
116,138,230,b,1,TRUE,1.06,0.94,4,0,0,1
117,139,115,b,1,TRUE,1.06,0.94,3,0,0,1
118,140,230,b,1,TRUE,1.06,0.94,3,1,1,1
119,141,230,b,1,TRUE,1.06,0.94,3,0,0,1
120,142,230,b,1,TRUE,1.06,0.94,3,0,1,1
121,143,230,b,1,TRUE,1.06,0.94,3,0,0,1
122,144,230,b,1,TRUE,1.06,0.94,3,0,0,0
123,145,230,b,1,TRUE,1.06,0.94,3,1,1,1
124,146,230,b,1,TRUE,1.06,0.94,3,0,1,0
125,147,230,b,1,TRUE,1.06,0.94,3,0,0,0
126,148,230,b,1,TRUE,1.06,0.94,3,0,1,1
127,149,230,b,1,TRUE,1.06,0.94,3,0,0,0
128,150,230,b,1,TRUE,1.06,0.94,4,0,0,0
129,151,230,b,1,TRUE,1.06,0.94,4,0,1,0
130,152,230,b,1,TRUE,1.06,0.94,4,1,1,1
131,153,230,b,1,TRUE,1.06,0.94,4,0,0,0
132,154,115,b,1,TRUE,1.06,0.94,4,0,0,1
133,155,230,b,1,TRUE,1.06,0.94,4,0,1,1
134,156,115,b,1,TRUE,1.06,0.94,4,0,0,1
135,157,230,b,1,TRUE,1.06,0.94,4,0,0,1
136,158,230,b,1,TRUE,1.06,0.94,4,0,0,0
137,159,230,b,1,TRUE,1.06,0.94,4,0,0,1
138,160,230,b,1,TRUE,1.06,0.94,4,0,0,0
139,161,230,b,1,TRUE,1.06,0.94,4,0,0,1
140,162,230,b,1,TRUE,1.06,0.94,4,0,0,1
141,163,230,b,1,TRUE,1.06,0.94,4,0,0,1
142,164,230,b,1,TRUE,1.06,0.94,4,0,0,0
143,165,230,b,1,TRUE,1.06,0.94,4,0,0,0
144,166,230,b,1,TRUE,1.06,0.94,4,0,0,0
145,167,230,b,1,TRUE,1.06,0.94,4,0,0,1
146,168,230,b,1,TRUE,1.06,0.94,4,0,0,0
147,169,230,b,1,TRUE,1.06,0.94,4,0,1,0
148,170,115,b,1,TRUE,1.06,0.94,4,0,1,1
149,171,115,b,1,TRUE,1.06,0.94,4,0,0,1
150,172,115,b,1,TRUE,1.06,0.94,3,0,0,1
151,173,115,b,1,TRUE,1.06,0.94,3,0,0,1
152,174,115,b,1,TRUE,1.06,0.94,3,0,0,0
153,175,115,b,1,TRUE,1.06,0.94,3,0,1,1
154,176,115,b,1,TRUE,1.06,0.94,3,0,1,1
155,177,115,b,1,TRUE,1.06,0.94,3,0,0,1
156,178,115,b,1,TRUE,1.06,0.94,3,0,0,1
157,179,115,b,1,TRUE,1.06,0.94,3,0,0,1
158,180,115,b,1,TRUE,1.06,0.94,3,0,0,1
159,181,230,b,1,TRUE,1.06,0.94,4,0,0,1
160,182,230,b,1,TRUE,1.06,0.94,3,0,0,1
161,183,115,b,1,TRUE,1.06,0.94,4,0,0,1
162,184,230,b,1,TRUE,1.06,0.94,4,0,1,1
163,185,230,b,1,TRUE,1.06,0.94,4,1,1,0
164,186,230,b,1,TRUE,1.06,0.94,4,0,1,1
165,187,230,b,1,TRUE,1.06,0.94,4,0,0,1
166,188,230,b,1,TRUE,1.06,0.94,4,0,0,1
167,189,66,b,1,TRUE,1.06,0.94,1,0,1,1
168,190,345,b,1,TRUE,1.06,0.94,1,0,1,0
169,191,230,b,1,TRUE,1.06,0.94,1,0,0,1
170,192,230,b,1,TRUE,1.06,0.94,1,0,0,1
171,193,66,b,1,TRUE,1.06,0.94,1,0,0,0
172,194,345,b,1,TRUE,1.06,0.94,3,0,0,0
173,195,345,b,1,TRUE,1.06,0.94,1,0,0,0
174,196,115,b,1,TRUE,1.06,0.94,1,0,0,1
175,197,115,b,1,TRUE,1.06,0.94,1,0,1,1
176,198,115,b,1,TRUE,1.06,0.94,1,0,0,1
177,199,115,b,1,TRUE,1.06,0.94,1,0,0,1
178,200,115,b,1,TRUE,1.06,0.94,1,0,0,1
179,201,66,b,1,TRUE,1.06,0.94,1,0,0,1
180,202,66,b,1,TRUE,1.06,0.94,1,0,0,1
181,203,115,b,1,TRUE,1.06,0.94,1,0,0,1
182,204,66,b,1,TRUE,1.06,0.94,1,0,0,1
183,205,66,b,1,TRUE,1.06,0.94,1,0,0,1
184,206,66,b,1,TRUE,1.06,0.94,1,0,0,1
185,207,66,b,1,TRUE,1.06,0.94,1,0,0,0
186,208,66,b,1,TRUE,1.06,0.94,1,0,0,1
187,209,66,b,1,TRUE,1.06,0.94,1,0,0,1
188,210,115,b,1,TRUE,1.06,0.94,1,0,0,0
189,211,115,b,1,TRUE,1.06,0.94,1,0,0,1
190,212,138,b,1,TRUE,1.06,0.94,1,0,1,0
191,213,16.5,b,1,TRUE,1.06,0.94,1,0,0,0
192,214,138,b,1,TRUE,1.06,0.94,1,0,0,1
193,215,138,b,1,TRUE,1.06,0.94,1,0,0,1
194,216,138,b,1,TRUE,1.06,0.94,1,0,0,1
195,217,138,b,1,TRUE,1.06,0.94,1,0,0,1
196,218,138,b,1,TRUE,1.06,0.94,1,0,0,1
197,219,345,b,1,TRUE,1.06,0.94,1,0,1,0
198,220,138,b,1,TRUE,1.06,0.94,1,0,1,1
199,221,138,b,1,TRUE,1.06,0.94,1,0,1,1
200,222,20,b,1,TRUE,1.06,0.94,1,0,0,1
201,223,138,b,1,TRUE,1.06,0.94,1,0,0,1
202,224,230,b,1,TRUE,1.06,0.94,1,0,0,1
203,225,230,b,1,TRUE,1.06,0.94,1,0,0,1
204,226,230,b,1,TRUE,1.06,0.94,1,0,1,0
205,227,27,b,1,TRUE,1.06,0.94,1,0,0,1
206,228,138,b,1,TRUE,1.06,0.94,1,0,0,1
207,229,138,b,1,TRUE,1.06,0.94,1,0,1,1
208,230,20,b,1,TRUE,1.06,0.94,1,0,0,0
209,231,345,b,1,TRUE,1.06,0.94,1,0,0,1
210,232,138,b,1,TRUE,1.06,0.94,1,0,1,1
211,233,66,b,1,TRUE,1.06,0.94,1,0,0,1
212,234,138,b,1,TRUE,1.06,0.94,1,0,0,1
213,235,138,b,1,TRUE,1.06,0.94,1,0,1,1
214,236,20,b,1,TRUE,1.06,0.94,1,0,0,0
215,237,345,b,1,TRUE,1.06,0.94,1,1,1,0
216,238,138,b,1,TRUE,1.06,0.94,1,0,1,1
217,239,138,b,1,TRUE,1.06,0.94,1,0,0,0
218,240,230,b,1,TRUE,1.06,0.94,1,0,1,0
219,241,20,b,1,TRUE,1.06,0.94,1,1,1,0
220,242,138,b,1,TRUE,1.06,0.94,1,0,1,0
221,243,66,b,1,TRUE,1.06,0.94,1,0,0,1
222,244,66,b,1,TRUE,1.06,0.94,1,0,0,0
223,245,66,b,1,TRUE,1.06,0.94,1,0,0,1
224,246,66,b,1,TRUE,1.06,0.94,1,0,0,1
225,247,66,b,1,TRUE,1.06,0.94,1,0,0,1
226,248,66,b,1,TRUE,1.06,0.94,1,0,0,1
227,249,66,b,1,TRUE,1.06,0.94,1,0,0,1
228,250,66,b,1,TRUE,1.06,0.94,1,0,0,0
229,281,230,b,1,TRUE,1.06,0.94,1,0,0,0
230,319,230,b,1,TRUE,1.06,0.94,4,0,0,1
231,320,115,b,1,TRUE,1.06,0.94,4,0,0,1
232,322,115,b,1,TRUE,1.06,0.94,2,0,0,1
233,323,230,b,1,TRUE,1.06,0.94,2,0,0,0
234,324,115,b,1,TRUE,1.06,0.94,2,0,0,1
235,526,115,b,1,TRUE,1.06,0.94,3,0,0,1
236,528,115,b,1,TRUE,1.06,0.94,3,0,0,1
237,531,115,b,1,TRUE,1.06,0.94,3,0,0,1
238,552,115,b,1,TRUE,1.06,0.94,3,0,0,0
239,562,230,b,1,TRUE,1.06,0.94,3,0,0,1
240,609,115,b,1,TRUE,1.06,0.94,3,0,0,1
241,664,345,b,1,TRUE,1.06,0.94,3,0,0,0
242,1190,86,b,1,TRUE,1.06,0.94,4,0,0,1
243,1200,86,b,1,TRUE,1.06,0.94,4,0,0,0
244,1201,115,b,1,TRUE,1.06,0.94,4,0,0,0
245,2040,115,b,1,TRUE,1.06,0.94,1,0,1,0
246,7001,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
247,7002,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
248,7003,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
249,7011,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
250,7012,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
251,7017,13.8,b,1,TRUE,1.06,0.94,2,0,1,0
252,7023,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
253,7024,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
254,7039,20,b,1,TRUE,1.06,0.94,2,0,1,0
255,7044,13.8,b,1,TRUE,1.06,0.94,3,0,0,0
256,7049,13.8,b,1,TRUE,1.06,0.94,2,0,1,0
257,7055,13.8,b,1,TRUE,1.06,0.94,3,0,1,0
258,7057,13.8,b,1,TRUE,1.06,0.94,3,0,1,0
259,7061,13.8,b,1,TRUE,1.06,0.94,3,0,1,0
260,7062,13.8,b,1,TRUE,1.06,0.94,3,0,1,0
261,7071,13.8,b,1,TRUE,1.06,0.94,3,1,1,0
262,7130,13.8,b,1,TRUE,1.06,0.94,4,0,1,0
263,7139,13.8,b,1,TRUE,1.06,0.94,3,0,1,0
264,7166,13.8,b,1,TRUE,1.06,0.94,4,0,0,0
265,9001,115,b,1,TRUE,1.06,0.94,2,0,1,0
266,9002,6.6,b,1,TRUE,1.06,0.94,2,0,0,1
267,9003,6.6,b,1,TRUE,1.06,0.94,2,0,0,1
268,9004,6.6,b,1,TRUE,1.06,0.94,2,0,0,1
269,9005,115,b,1,TRUE,1.06,0.94,2,0,0,0
270,9006,6.6,b,1,TRUE,1.06,0.94,2,0,0,0
271,9007,6.6,b,1,TRUE,1.06,0.94,2,0,0,0
272,9012,6.6,b,1,TRUE,1.06,0.94,2,0,0,0
273,9021,6.6,b,1,TRUE,1.06,0.94,2,0,0,1
274,9022,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
275,9023,6.6,b,1,TRUE,1.06,0.94,2,0,0,0
276,9024,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
277,9025,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
278,9026,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
279,9031,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
280,9032,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
281,9033,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
282,9034,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
283,9035,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
284,9036,2.3,b,1,TRUE,1.06,0.94,2,0,0,1
285,9037,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
286,9038,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
287,9041,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
288,9042,0.6,b,1,TRUE,1.06,0.94,2,0,0,1
289,9043,2.3,b,1,TRUE,1.06,0.94,2,0,0,1
290,9044,6.6,b,1,TRUE,1.06,0.94,2,0,1,0
291,9051,13.8,b,1,TRUE,1.06,0.94,2,0,0,1
292,9052,13.8,b,1,TRUE,1.06,0.94,2,1,1,1
