,c_nf_per_km,r_ohm_per_km,x_ohm_per_km
0,0.0,0.08712,0.378004
1,0.0,1.433124,8.07796
2,0.0,0.27104,2.09088
3,0.0,0.2888,3.55224
4,0.0,0.4332,5.44388
5,0.0,0.06776,0.27588
6,0.0,0.06292,0.352836
7,0.0,0.05808,0.281204
8,0.0,0.05324,0.30976
9,0.0,0.09196,0.27104
10,0.0,0.30008,2.375956
11,0.0,0.10108,1.09744
12,0.0,0.95304,8.98168
13,0.0,0.77976,10.85888
14,0.0,1.5162,12.66388
15,0.0,0.11552,1.31404
16,0.0,0.80864,10.38236
17,0.0,0.257004,0.986876
18,0.0,4.190956,18.24196
19,0.0,1.862916,10.211916
20,0.0,3.32992,17.408996
21,0.0,3.256836,17.97092
22,0.0,0.53724,3.219084
23,0.0,1.1132,4.311956
24,0.0,0.407044,1.51492
25,0.0,1.704164,8.459836
26,0.0,0.018876,0.121
27,0.0,0.076956,0.352836
28,0.0,2.556004,15.535916
29,0.0,2.735084,14.238796
30,0.0,0.131164,0.17424
31,0.0,0.21296,0.69212
32,0.0,0.076956,0.35816
33,0.0,0.09196,0.286044
34,0.0,0.09196,0.42108
35,0.0,1.254044,6.610956
36,0.0,1.4762,5.65312
37,0.0,0.076956,0.289916
38,0.0,0.076956,0.30008
39,0.0,0.48884,2.046836
40,0.0,1.54396,9.027084
41,0.0,0.352836,1.63108
42,0.0,1.433124,6.210204
43,0.0,0.286044,1.64076
44,0.0,0.11616,0.589996
45,0.0,3.009996,17.589044
46,0.0,0.891044,5.77412
47,0.0,0.681956,5.38692
48,0.0,0.73084,3.71712
49,0.0,2.89916,16.03492
50,0.0,0.857164,4.913084
51,0.0,0.35816,1.50524
52,0.0,0.352836,1.528956
53,0.0,2.551164,9.22504
54,0.0,4.38504,25.725084
55,0.0,1.9602,7.4052
56,0.0,0.2662,1.917124
57,0.0,0.2662,1.804836
58,0.0,0.51788,3.769876
59,0.0,0.54208,3.751
60,0.0,0.499004,3.751
61,0.0,0.30008,1.557996
62,0.0,0.32912,1.286956
63,0.0,0.93412,6.039836
64,0.0,0.560956,3.498836
65,0.0,0.66308,4.224836
66,0.0,0.678084,4.1382
67,0.0,0.644204,4.124164
68,0.0,0.15004,0.39204
69,0.0,0.165044,0.57596
70,0.0,0.15004,0.620004
71,0.0,0.45496,1.694
72,0.0,0.03388,0.315084
73,0.0,0.09196,0.60016
74,0.0,0.160204,1.228876
75,0.0,2.3104,30.51172
76,0.0,0.439956,2.280124
77,0.0,0.42592,2.404996
78,0.0,0.891044,4.2592
79,0.0,4.90292,20.51192
80,0.0,0.85196,11.58088
81,0.0,0.77976,11.4076
82,0.0,2.46924,30.72832
83,0.0,2.51256,30.09296
84,0.0,1.24184,20.69252
85,0.0,1.25628,20.27376
86,0.0,1.81944,20.89468
87,0.0,1.76168,21.78996
88,0.0,2.22376,27.436
89,0.0,2.29416,17.24976
90,0.0,2.904,23.158916
91,0.0,3.890876,16.335
92,0.0,0.010164,0.102124
93,0.0,0.2178,1.133044
94,0.0,0.323796,2.072004
95,0.0,0.32912,2.02796
96,0.0,0.352836,2.08604
97,0.0,0.286044,2.251084
98,0.0,0.47916,2.459204
99,0.0,1.02608,6.307004
100,0.0,1.044956,6.171
101,0.0,0.121,0.4598
102,0.0,0.131164,0.43076
103,0.0,0.949124,6.005956
104,0.0,0.21296,1.00188
105,0.0,0.226996,0.69212
106,0.0,0.615164,6.80504
107,0.0,0.60016,6.302164
108,0.0,0.197956,1.15676
109,0.0,0.45496,2.42
110,0.0,0.105996,0.3388
111,0.0,0.02904,0.121
112,0.0,0.0242,0.110836
113,0.0,0.09196,0.439956
114,0.0,0.828124,3.78488
115,0.0,1.283084,5.69184
116,0.0,0.681956,5.129916
117,0.0,0.686796,4.945996
118,0.0,0.18772,3.06128
119,0.0,0.37544,4.51972
120,0.0,2.2748,15.3912
121,0.0,0.65824,3.71712
122,0.0,2.743796,13.449876
123,0.0,2.133956,16.016044
124,0.0,5.11104,21.522996
125,0.0,9.50092,37.44224
126,0.0,5.59988,22.71896
127,0.0,0.231836,1.2342
128,0.0,0.226996,1.14224
129,0.0,5.98708,32.446876
130,0.0,6.3888,27.214836
131,0.0,0.12584,0.828124
132,0.0,0.131164,0.807796
133,0.0,0.102124,0.194084
134,0.0,0.5082,2.496956
135,0.0,1.02608,4.50604
136,0.0,0.073084,0.32912
137,0.0,0.09196,0.39688
138,0.0,1.557996,6.8002
139,0.0,3.519164,16.048956
140,0.0,3.222956,15.15888
141,0.0,0.82308,9.64592
