,from_bus,to_bus
0,1073,801
1,651,1102
2,855,591
3,976,879
4,976,1006
5,746,1329
6,431,1329
7,204,1329
8,269,1329
9,1205,1329
10,901,1270
11,1348,1139
12,1348,1309
13,1348,312
14,1348,6
15,15,1296
16,15,690
17,355,818
18,355,719
19,355,1303
20,355,1234
21,355,999
22,355,504
23,355,81
24,355,381
25,355,784
26,454,89
27,451,339
28,1247,1087
29,1247,1087
30,120,549
31,1263,1026
32,1263,590
33,329,287
34,757,430
35,955,731
36,955,1065
37,50,155
38,50,155
39,487,731
40,487,646
41,487,1065
42,161,169
43,161,1157
44,1295,352
45,882,440
46,882,878
47,490,1057
48,490,36
49,490,455
50,490,501
51,700,733
52,700,733
53,479,1135
54,479,802
55,479,271
56,983,794
57,983,794
58,983,235
59,983,235
60,983,235
61,983,358
62,983,129
63,1335,60
64,1335,445
65,1335,436
66,1335,436
67,1335,436
68,1030,323
69,1030,1173
70,1030,670
71,1030,642
72,1235,1024
73,807,551
74,807,430
75,470,427
76,1127,779
77,1127,779
78,0,1253
79,0,1183
80,1059,434
81,1059,434
82,1059,592
83,1059,592
84,1059,950
85,1059,950
86,1059,578
87,1059,833
88,1059,833
89,731,728
90,731,870
91,731,767
92,995,1065
93,1201,556
94,399,1272
95,1353,1272
96,461,1036
97,461,1036
98,461,1288
99,226,1107
100,226,528
101,1255,558
102,1255,558
103,1255,406
104,1255,1204
105,1255,1232
106,1255,949
107,1255,949
108,1255,1304
109,1255,30
110,1255,437
111,1255,979
112,1255,773
113,568,397
114,330,819
115,330,985
116,1126,54
117,1126,780
118,111,592
119,111,108
120,675,331
121,675,982
122,675,525
123,1060,910
124,1060,203
125,1060,1041
126,1060,1082
127,884,115
128,1106,115
129,170,217
130,170,1233
131,601,618
132,601,618
133,992,781
134,1198,856
135,1034,984
136,79,981
137,797,729
138,756,985
139,965,1338
140,965,1170
141,510,413
142,510,1028
143,510,1028
144,510,238
145,510,689
146,887,244
147,887,1184
148,887,857
149,887,475
150,887,777
151,887,727
152,1057,54
