,hv_bus,lv_bus
0,1348,355
1,1348,355
2,15,355
3,470,1127
4,1059,731
5,1059,731
6,111,675
7,111,675
8,510,887
9,510,887
10,510,1057
11,117,913
12,90,248
13,90,248
14,899,483
15,899,483
16,1341,429
17,1341,429
18,193,860
19,193,860
20,193,860
21,478,698
22,478,698
23,783,346
24,783,346
25,745,886
26,745,1285
27,1086,65
28,1086,65
29,65,741
30,812,575
31,415,1329
32,427,943
33,427,943
34,672,1063
35,388,259
36,524,832
37,529,46
38,529,266
39,348,46
40,348,46
41,275,1125
42,13,1125
43,520,1064
44,520,1064
45,460,305
46,902,305
47,318,305
48,692,235
49,692,235
50,692,235
51,827,134
52,827,134
53,827,134
54,827,134
55,172,1087
56,172,1087
57,365,809
58,365,809
59,1137,816
60,1137,816
61,1137,816
62,739,1158
63,739,1158
64,744,1076
65,96,566
66,557,1011
67,557,1011
68,557,1011
69,557,1011
70,973,1182
71,973,1182
72,1351,867
73,1164,106
74,1164,106
75,482,217
76,482,217
77,300,618
78,300,618
79,690,755
80,312,755
81,835,820
82,835,820
83,413,215
84,681,1084
85,681,1084
86,254,581
87,254,581
88,254,581
89,370,682
90,370,682
91,455,888
92,749,1114
93,879,1251
94,879,815
95,1227,1270
96,1098,1270
97,1096,1102
98,1096,1102
99,1096,1102
100,371,210
101,347,1203
102,1252,272
103,1252,272
104,212,71
105,212,71
106,213,403
107,1186,126
108,1186,126
109,1186,126
110,592,982
111,592,610
112,666,304
113,666,304
114,666,304
115,148,1075
116,1326,319
117,945,1223
118,945,1223
119,1028,1104
120,1028,1104
121,1028,1320
122,1000,980
123,1000,980
124,1000,980
125,139,1041
126,139,7
127,778,1041
128,778,7
129,1349,903
130,1349,1196
131,1349,990
132,541,961
133,654,949
134,654,949
135,1093,949
136,1093,949
137,1293,959
138,1293,959
139,805,714
140,805,714
141,805,714
142,804,570
143,804,570
144,1055,671
145,892,9
146,892,984
147,208,181
148,208,181
149,208,221
150,1099,221
151,1099,221
152,1003,724
153,769,1
154,1095,68
155,94,652
156,628,1036
157,628,1036
158,1085,548
159,1190,946
160,1190,946
161,1190,946
162,624,21
163,624,21
164,624,21
165,858,1350
166,858,205
167,858,205
168,1195,787
169,1195,787
170,344,1168
171,344,1168
172,1176,22
173,1176,22
174,514,164
175,707,324
176,247,1122
177,247,1122
178,121,1183
179,1206,1183
180,1206,1183
181,1167,970
182,635,35
183,635,35
184,936,522
185,936,522
186,1069,641
187,1069,641
188,1069,641
189,1006,436
190,1006,436
191,578,39
192,833,39
193,250,14
194,250,14
195,394,845
196,394,845
197,53,486
198,53,1282
199,53,350
200,53,278
201,53,505
202,53,826
203,53,463
204,53,463
205,53,1141
206,130,1230
207,130,1230
208,534,864
209,534,864
210,534,864
211,1045,865
212,1045,865
213,261,362
214,261,362
215,497,313
216,497,313
217,497,313
218,513,1308
219,1292,1308
220,309,107
221,309,107
222,33,218
223,1207,789
224,1207,789
225,1207,789
226,1207,1092
227,1207,1092
228,1207,1092
229,607,721
230,607,291
231,320,721
232,320,291
233,238,1033
234,238,87
235,108,1033
236,108,87
237,689,1272
238,689,1272
239,428,638
