Bus_no,vn_kv,load_p_mw,max_gen_p_mw,min_gen_p_mw,price_1,price_2,x_pos,y_pos
1,220.0,171.41,,,,,9.2994114056,4.3911156203
2,220.0,134.0,,,,,-0.5539112182,-5.4406706092
8,220.0,48.65,,,,,14.990235707,5.6308568837
19,220.0,32.34,,,,,12.3840394903,2.2937514656
20,220.0,,500.0,0.0,,,13.7330221576,10.1723017084
24,380.0,,,,1.0,0.0,-7.0581000911,3.1310445623
27,380.0,,,,,,-8.5504821185,-5.3830930174
42,220.0,,500.0,0.0,,,8.2793129894,10.0408344201
51,220.0,70.68,,,,,-0.4886257255,8.7141123187
56,380.0,,500.0,0.0,,,4.9566414307,7.7883500249
57,220.0,274.32,,,,,6.4056018678,-4.7414566714
88,220.0,83.99,,,1.0,0.0,9.3355277598,-3.4369650642
94,220.0,,500.0,0.0,,,12.6378043383,-2.059995744
111,380.0,,,,1.0,0.0,-5.6509529885,1.5187633007
113,220.0,,500.0,0.0,,,-5.588938169,3.1948687128
116,380.0,192.5,,,,,6.4530536168,9.233100652
122,220.0,,,,,,9.4722508843,13.7112038843
126,220.0,,,,,,2.2513791635,10.3642749085
143,220.0,31.94,,,,,8.7368935521,11.201162124
146,220.0,,,,,,-9.7029614374,4.8993845923
148,220.0,277.86,,,,,3.5763552592,1.3781037638
161,220.0,32.84,,,,,-4.455167455,11.5616887352
169,220.0,67.57000000000001,,,,,-3.4951835877,10.2629623096
172,220.0,,,,,,3.0196905868,7.1053608893
182,220.0,173.0,,,,,5.242177294,-10.9249721948
186,220.0,,,,,,9.5163744674,-1.8743095014
193,220.0,,,,,,4.0654571939,2.2209426345
194,220.0,40.85,,,,,1.6158947821,8.019797838
196,220.0,30.93,,,,,-8.2322453151,-5.7355467354
205,220.0,,,,,,-2.3583361072,-3.1257177037
214,220.0,,,,,,-6.4233056683,8.3129312118
215,220.0,,,,,,-5.8803110347,3.5964547831
216,220.0,36.34,,,,,-10.3374455005,5.6930983182
219,380.0,42.55,,,,,-0.9107038174,-1.7900832822
223,220.0,,,,,,-5.4883560532,5.5391298299
278,220.0,20.82,,,,,7.8898562261,5.0414481253
281,220.0,,500.0,0.0,,,8.989172353,-3.1364613068
290,220.0,25.73,,,,,-6.2103084497,1.7300463291
303,220.0,77.19,,,,,7.3175020051,1.9908751448
304,220.0,,,,,,-1.2626944759,9.0222682728
312,220.0,,,,,,4.9618050937,7.1713290324
331,220.0,208.88,,,,,-7.3331899645,0.5367320699
336,220.0,32.04,,,,,-1.4034213572,-3.7810647321
344,220.0,,500.0,0.0,,,4.6097787891,2.3252985597
348,220.0,,,,,,-1.7707284692,-0.3916874729
350,380.0,20.82,,,,,8.0311651848,4.8517286622
365,220.0,,,,,,5.97140452,6.3938436503
399,220.0,85.39,,,,,-8.3202418538,3.6897955441
406,220.0,,,,,,-1.6271204836,4.6780182571
408,220.0,25.33,,,,,-4.9806382772,1.8980282632
411,220.0,,500.0,0.0,,,12.4911797623,2.0722723157
414,220.0,,,,,,1.0142576553,5.7135252194
424,220.0,56.76,,,,,-8.6736200424,0.1020660183
430,380.0,,,,,,-5.4316382409,-5.1654842613
442,220.0,,,,,,-3.2827518117,-4.0979384987
447,380.0,,,,,,-3.4854561307,1.5476068011
451,380.0,116.93,,,,,1.4717601323,-4.8240661717
453,220.0,29.33,,,,,9.453829076,1.9117997166
488,220.0,,,,,,-2.9822278507,0.8645814078
498,220.0,,500.0,0.0,,,9.8837222199,8.8453817383
500,220.0,77.49,,,,,5.2893448549,11.1969070805
504,380.0,23.22,,,,,6.1061011547,10.5468619018
511,220.0,78.99,,,,,1.4328417399,0.5795665335
514,220.0,,,,,,-1.7633324951,1.6231717298
518,220.0,99.3,,,,,-1.6684168911,0.6202808328
547,220.0,42.55,,,,,10.1307173936,0.1468548402
552,220.0,,500.0,0.0,,,6.734257405,5.1757001723
554,220.0,82.99,,,,,-6.7663410809,7.5504969488
559,220.0,,,,,,1.6097092027,-2.7792048475
562,220.0,42.48,,,,,-8.9511403115,1.0480276558
573,220.0,,500.0,0.0,,,5.3657885965,-8.4801211683
581,220.0,,,,,,5.8033801507,-3.5372973302
592,220.0,,,,,,-4.7820983587,1.6449186238
599,220.0,19.42,,,,,-2.998919722,-2.2689209402
602,380.0,148.0,,,,,1.681216169,10.3821698715
606,220.0,110.8,,,,,5.5369447989,4.9787061656
607,220.0,,,,,,-1.0329135517,2.0987334214
613,220.0,,,,,,-5.6058413832,-0.3653638407
614,220.0,,,,,,7.1275590717,10.4657685607
617,220.0,,,,,,13.1730943791,7.6701409571
637,220.0,5.81,,,,,10.6894177958,5.0031386229
639,220.0,,4188.95,0.0,,,5.9191841594,5.2117470981
656,220.0,65.07,,,,,-6.9659472555,-7.0721047297
659,380.0,,500.0,0.0,,,-2.2041982794,3.0331264411
664,380.0,485.5,,,,,4.9770474138,-9.7832336443
676,220.0,81.89,,,,,-0.4090340026,-6.3609778695
680,220.0,48.48,,,,,4.7148730358,-1.1824152858
685,220.0,119.0,,,,,-7.7458300178,-3.466407268
705,220.0,3.1,,,,,-3.2716237006,5.9689979219
716,220.0,,500.0,0.0,,,13.9081191463,8.6678984926
718,380.0,171.9,,,,,10.7325385988,6.3605542158
724,220.0,,,,,,0.9059876563,-9.2963117939
