,vn_kv,load_p_mw,max_gen_p_mw,min_gen_p_mw,price_1,price_2,x_pos,y_pos
0,63.0,20.6,,,,,32.9852171016,-6.9660409069
1,225.0,20.9,,,,,25.4504235529,-22.6425158552
2,380.0,,,,,,25.3849046932,-6.3285472903
3,63.0,,,,,,19.3806838425,-3.0016253212
4,45.0,0.4,,,,,38.1900634436,-11.8737991438
5,45.0,,,,,,38.3144955099,-10.9930059145
6,225.0,110.5,,,,,17.2657513382,-10.5465324341
7,63.0,44.7,,,,,30.0883395061,-0.0668290404
8,20.0,,,,,,31.0215437851,-10.3548176049
9,20.0,,,,,,31.5161433578,-10.2063541175
10,150.0,,,,,,33.7387948434,-10.9687353732
11,225.0,31.7,,,,,32.6191827519,-10.0902183412
12,225.0,43.7,,,,,32.298509145,-10.7337576166
13,380.0,,,,,,29.3369334171,-9.7136465511
14,225.0,,,,,,13.2953150434,-15.2021316007
15,63.0,,,,,,36.776345942,-9.4429871239
16,63.0,9.0,,,,,27.9830143381,-12.1763065323
17,225.0,120.0,,,,,30.5367191244,-13.2282414529
18,225.0,35.0,,,,,15.195393419,-23.5678194105
19,225.0,45.0,,,,,22.6611644747,-21.9985836383
20,63.0,,500.0,2.6,15.881308010772742,0.3643975300034798,17.395963839,-2.6168263381
21,225.0,77.3,,,,,15.0053827776,-21.8281178891
22,225.0,48.4,,,,,19.9326224568,-21.4602278448
23,63.0,4.6,,,,,17.8795160686,-5.3059249253
24,63.0,33.3,,,,,33.2453313462,-9.3356062248
25,225.0,,,,,,15.2349943029,-20.3942466813
26,225.0,,,,,,15.6411439714,-20.7433350216
27,225.0,18.0,,,,,20.8807229792,-21.7480588489
28,225.0,1.0,,,,,31.8393015824,-18.7559329514
29,63.0,22.0,,,,,34.183128209,-12.7379437382
30,225.0,,,,,,23.6378551016,-18.8100823468
31,225.0,39.1,,,,,23.1027685989,-18.7544896429
32,63.0,7.1,,,,,24.6912011568,-10.5527682736
33,225.0,3.5,,,,,15.9652338235,-17.5293679271
34,63.0,7.7,,,,,18.4229511787,-3.0864095509
35,63.0,12.1,,,,,17.4590829314,-7.1257206397
36,45.0,2.4,,,,,39.6875663842,-11.8247395692
37,45.0,,,,,,37.969177236,-12.6160694956
38,63.0,26.0,,,,,21.8166205615,-1.3848383802
39,45.0,0.7,,,,,38.1198569169,-11.6537441912
40,63.0,9.3,,,,,33.3952864313,-5.8557780565
41,225.0,78.4,,,,,30.5626804619,-16.7355324916
42,225.0,25.1,,,,,25.8039815248,-21.8298135195
43,225.0,80.4,,,,,33.6873475774,1.4925697201
44,63.0,37.8,,,,,31.726079554,-8.3002512812
45,225.0,,,,,,31.2276929453,-8.260436498
46,63.0,29.0,,,,,30.7166247027,-0.9341040552
47,225.0,97.4,,,,,19.5265250792,-14.7246368668
48,380.0,,,,,,25.1583581849,-6.5780149615
49,380.0,,,,,,25.1039445393,-6.461318349
50,63.0,21.3,,,,,25.5726864172,-10.1067130142
51,63.0,,,,,,16.0217980869,-4.0749235539
52,63.0,11.6,,,,,24.6762636546,-4.2378864268
53,63.0,9.3,,,,,24.4620262785,-3.952133623
54,225.0,,,,,,25.0516321755,-4.9487940227
55,225.0,66.6,,,,,27.5652739772,-2.5352131011
56,225.0,,,,,,16.1844275821,-21.0150756481
57,225.0,53.9,,,,,21.7648341593,-20.8034739572
58,63.0,7.9,500.0,3.6,18.97713727909418,0.1547543919093752,34.0648724188,-4.9131171842
59,150.0,,,,,,32.7792289242,-5.5404277766
60,225.0,40.5,,,,,14.2956583149,-6.1917902329
61,380.0,,,,,,15.7480852995,-6.8705955883
62,225.0,80.2,,,,,32.8658029625,-16.6550243812
63,20.0,,,,,,20.4616431697,-19.6277939769
64,225.0,35.3,,,,,20.4928304034,-20.1568020908
65,380.0,58.9,,,,,21.8667271657,-17.648572258
66,63.0,5.5,,,,,33.3334742688,-9.5029058287
67,63.0,0.6,,,,,22.2951452025,1.3353970489
68,63.0,28.6,,,,,23.4376783338,-0.0401212282
69,63.0,,,,,,22.0859708091,3.1044201136
70,225.0,39.6,,,,,28.7020193048,-12.596463255
71,63.0,,,,,,22.5411149349,1.6290878857
72,45.0,12.5,,,,,38.4561430259,-11.5495086676
73,45.0,,500.0,3.58,18.91530729474708,0.2629313120785796,36.537593966,-11.959574491
74,225.0,0.4,,,,,24.2493744545,-22.6276035617
75,225.0,42.5,,,,,25.2708737404,-22.394136359
76,20.0,4.2,,,,,11.7487432484,-12.0870885209
77,225.0,139.3,,,,,13.1636736985,-12.0139299345
78,225.0,83.7,,,,,14.6430462373,-16.6601611824
79,150.0,,500.0,6.0,18.15837477307684,0.4763740060324344,11.048071165,1.9580634627
80,225.0,,,,,,24.1058671859,-16.2600639103
81,225.0,,,,,,24.3223231575,-16.3845896933
82,225.0,,,,,,24.7669108982,-15.5399720609
83,63.0,15.2,,,,,28.5695488084,-9.6824344052
84,45.0,,500.0,6.0,10.358895856168534,0.2264622377020191,39.8864013022,-8.7215354132
85,63.0,5.7,,,,,17.6455238806,-2.0691574743
86,225.0,7.8,,,,,15.2749616896,-17.7102474967
87,63.0,14.0,,,,,20.9746021358,-5.1777230794
88,63.0,7.1,,,,,16.0226742851,-5.4029593966
89,225.0,,,,,,17.3943193076,-2.1998771669
90,225.0,59.6,,,,,26.6298517769,-21.5578930889
91,63.0,27.8,,,,,27.0154947625,3.266708913
92,225.0,61.1,,,,,21.8521255859,-21.279130294
93,380.0,,,,,,22.6426700572,-19.8570526828
94,63.0,31.8,,,,,27.5602491338,-0.3533962062
95,63.0,22.8,,,,,23.3767781829,-2.3767268635
96,63.0,2.1,,,,,26.983798471,-0.784815819
97,63.0,30.5,,,,,25.425844135,1.4552658272
98,63.0,32.0,,,,,25.7602459922,1.4577476769
99,225.0,,,,,,26.1285553728,-0.5692196635
100,225.0,,,,,,25.7094864285,-0.5726050743
101,225.0,89.3,,,,,15.9237034155,-15.3967018809
102,225.0,6.4,,,,,19.3951363624,-9.3383406881
103,150.0,,500.0,1.2,16.91757581758884,0.1580933027598793,11.7971016857,2.685265307
104,225.0,37.7,,,,,24.0692908526,1.4659187294
105,225.0,33.4,,,,,23.5665283002,1.262732317
106,225.0,,,,,,26.1732884248,-0.1154219866
107,225.0,9.0,,,,,28.4092091847,-21.0929353442
108,63.0,35.8,,,,,28.544589659,-1.0823603507
109,225.0,16.5,,,,,35.3824134235,-10.3464863784
110,225.0,28.6,,,,,13.1964679297,-14.4344335397
111,225.0,14.5,,,,,20.1443048348,-23.2460884391
112,225.0,7.3,,,,,17.3022510849,-2.8420169888
113,225.0,6.4,,,,,23.5638527175,-13.204455382
114,225.0,,,,,,25.7666348302,-20.2262247195
115,225.0,,,,,,25.3150890933,-20.2399442595
116,380.0,,,,,,25.0556895687,-19.1616089634
117,225.0,45.6,,,,,21.8150189836,-20.6328008121
118,225.0,19.1,,,,,20.9355398895,-17.1216737465
119,63.0,10.1,,,,,21.0010875771,-2.840839807
120,225.0,,,,,,24.031684764,-2.7692457484
121,225.0,,,,,,23.7478904214,-2.8988067978
122,63.0,8.4,,,,,23.4693555331,-0.1505983085
123,225.0,39.7,,,,,24.337169989,-1.9801783149
124,225.0,,,,,,14.6075567238,-10.8377861866
125,380.0,,,,,,15.4001547479,-10.5585041704
126,225.0,62.2,,,,,15.7382735816,-11.1278919389
127,225.0,2.2,,,,,24.5748148079,-20.2242658344
128,225.0,12.3,,,,,24.78314331,-20.2217976792
129,225.0,5.0,,,,,29.9435071326,-20.8461305129
130,63.0,30.0,,,,,33.3081357785,-10.0320094451
131,225.0,11.7,,,,,21.5533766742,-24.379131054
132,225.0,51.9,,,,,21.9254984537,-23.2811973015
133,63.0,2.6,,,,,27.4261188588,1.095775475
134,63.0,38.0,,,,,19.3959068466,-3.3928179669
135,63.0,24.0,,,,,22.0508161253,0.9932673097
136,63.0,,500.0,3.0,13.78680942005408,0.1672314953783316,23.367734698,-4.825297654
137,63.0,8.0,,,,,27.8600500613,1.1642896137
138,63.0,9.9,,,,,28.2792161712,1.2172447079
139,225.0,77.10000000000001,,,,,15.8991141907,-7.5732056521
140,63.0,21.2,,,,,21.0269525525,-5.5598691457
141,63.0,0.0,500.0,-7.0,15.185109454480806,0.3113907917036487,16.6937824525,-0.7943487276
142,63.0,,,,,,21.9072547809,-6.2314938051
143,225.0,,,,,,22.497672103,-7.3715577755
144,380.0,,,,,,22.740398151,-7.0886941221
145,63.0,17.1,,,,,33.2256191569,-7.1898862368
146,63.0,18.2,500.0,2.2,16.57951465558813,0.1076986176087929,31.6241511327,-10.484748663
147,63.0,,,,,,21.0819536137,-2.4130442627
148,225.0,,,,,,22.3990049543,-4.5088191635
149,225.0,81.2,,,,,20.3275486972,-5.9402845033
150,63.0,9.6,500.0,5.0,11.938502178829484,0.3709466648071918,34.1077394084,5.1953891485
151,150.0,,500.0,5.0,12.72316402066584,0.1437426450722396,30.9509584558,4.2733802667
152,63.0,,500.0,2.6,17.18605933601166,0.2491888298875055,15.6814299379,-2.5619445299
153,225.0,,,,,,31.6687432933,-14.6350442194
154,63.0,14.1,,,,,32.4469851084,-5.1305938956
155,225.0,11.3,,,,,23.8391943763,-4.5198539256
156,63.0,9.4,,,,,28.5547248631,2.8475982367
157,380.0,,,,,,20.4712316761,-16.7814737991
158,380.0,,,,,,20.4300878182,-16.7373490499
159,225.0,11.1,,,,,15.8311165237,-8.1457704784
160,225.0,7.2,,,,,15.792720144,-16.853186378
161,63.0,20.9,,,,,27.4746315383,-1.0034114819
162,150.0,33.4,,,,,14.6457649996,-1.1524750268
163,225.0,61.8,,,,,16.2491746679,-1.6947901397
