,sn_mva,tap_neutral,tap_pos,tap_step_percent,vk_percent
0,99.999,0.0,-1.0,1.4778,12.03473434604742
1,99.999,,,,6.38009555691777
2,99.999,,,,8.19931803587994
3,1186.0,0.0,-1.0,0.0999,-7.31243484316435
4,1188.0,0.0,-1.0,0.0999,-7.32476609922365
5,435.0,0.0,1.0,0.10019999999999,51.92246193317325
6,435.0,0.0,-1.0,1.0877,54.4084620298996
7,446.0,0.0,-1.0,2.4394,51.99949383222098
8,436.0,0.0,-1.0,2.4394,56.08845344714636
9,99.999,0.0,-1.0,2.5336,14.91704091872944
10,1187.0,0.0,1.0,0.09999999999999,29.67761660240014
11,99.999,0.0,1.0,5.04199999999999,8.47130029333736
12,1186.0,,,,-7.47615013001237
13,1187.0,,,,-8.05753523710483
14,99.999,,,,0.25325433308359
15,99.999,,,,0.08397159622935
16,606.0,0.0,-1.0,0.3984,29.29559989448388
17,606.0,0.0,-1.0,0.3984,24.00956118067109
18,446.0,0.0,-1.0,4.2146,4.23033033679877
19,446.0,0.0,-1.0,4.2146,4.23033033679877
20,446.0,0.0,-1.0,4.2146,4.23033033679877
21,1186.0,,,,29.81767782856425
22,1186.0,,,,29.5708993441605
23,1186.0,,,,29.5708993441605
24,435.0,0.0,-1.0,1.2835,53.29499022684261
25,447.0,0.0,-1.0,2.1523,54.85753330325746
26,600.0,0.0,-1.0,0.3984,25.47575633185402
27,1020.0,0.0,1.0,3.3058,164.73135372391135
28,1627.0,0.0,-1.0,0.59669999999999,163.40310726735814
29,1016.0,0.0,1.0,2.3541,156.41616796555343
30,593.0,0.0,-1.0,4.3062,26.69685046352562
31,593.0,0.0,-1.0,4.3062,26.49163207002726
32,433.0,0.0,1.0,2.45899999999999,54.08251184463911
33,312.0,0.0,-1.0,1.088,50.24931242364886
34,99.999,,,,14.92131654511279
35,600.0,0.0,-1.0,0.5964,23.35696973581976
36,598.0,0.0,-1.0,0.5964,23.81772086001724
37,600.0,0.0,-1.0,0.5964,-5.40645897052775
38,606.0,0.0,1.0,0.50269999999999,26.52832218426503
39,436.0,0.0,-1.0,9.9099,49.97704718889103
40,99.999,,,,8.5593535910922
41,1186.0,,,,-5.34634829852975
42,1186.0,,,,-7.63996713733665
43,446.0,0.0,1.0,0.10019999999999,55.52999033515036
44,446.0,0.0,1.0,0.10019999999999,55.6155261192454
45,312.0,0.0,-1.0,1.9606,51.2822113464792
46,435.0,0.0,-1.0,1.0877,51.58440445390884
47,446.0,0.0,-1.0,2.3441,52.88068646486069
48,1186.0,0.0,-1.0,0.0999,29.48875906900424
49,1186.0,0.0,-1.0,0.0999,29.40574592124641
50,724.0,0.0,-1.0,3.5676,88.53327369435969
51,435.0,0.0,-1.0,2.4394,51.05836193593588
52,724.0,0.0,-1.0,2.4394,88.53327369435969
53,312.0,0.0,-1.0,4.3062,50.62105738586187
54,935.0,,,,4.43287444297997
55,1186.0,0.0,1.0,0.50269999999999,28.83058448137949
56,1188.0,0.0,1.0,0.50269999999999,28.87920266768873
57,632.0,0.0,1.0,0.2005,27.71064208354905
58,446.0,0.0,-1.0,3.6606,55.95954585916026
59,446.0,0.0,-1.0,3.6606,55.78387145637313
60,99.999,,,,7.903588952931
61,99.999,,,,14.29071965806358
62,606.0,0.0,1.0,0.2005,-4.7523687629114
63,99.999,0.0,-1.0,4.7615,17.58598658872264
64,99.999,,,,7.903588952931
65,99.999,,,,7.903588952931
66,99.999,,,,7.903588952931
67,99.999,,,,0.08397159622935
68,99.999,,,,0.08397159622935
69,99.999,,,,0.08397159622935
70,1186.0,,,,-5.34634829852975
71,1184.0,,,,-7.62708355025851
72,99.999,0.0,1.0,0.09999999999999,45.34265749932863
73,99.999,0.0,1.0,0.09999999999999,45.64484314203354
74,99.999,0.0,1.0,0.09999999999999,45.62034154480185
75,99.999,0.0,1.0,0.09999999999999,60.32755880384301
76,99.999,0.0,1.0,0.09999999999999,60.32755880384301
77,435.0,0.0,-1.0,1.0877,54.13995698211465
78,435.0,0.0,-1.0,2.3441,54.4084620298996
79,1186.0,0.0,-1.0,0.0999,29.48865372469974
80,1186.0,0.0,-1.0,0.0999,29.73413655522185
81,99.999,,,,7.903588952931
82,99.999,,,,7.903588952931
83,99.999,,,,7.903588952931
84,1186.0,,,,29.62740485074351
85,1186.0,0.0,1.0,0.09999999999999,29.5707876330858
86,1186.0,0.0,1.0,0.09999999999999,29.5707876330858
87,1186.0,,,,66.52753433108589
88,2164.0,0.0,-1.0,6.1033,513.9525957592807
89,99.999,,,,14.3460526976481
90,99.999,,,,14.13816601385301
91,606.0,0.0,1.0,0.2005,-5.08667036296947
92,557.0,0.0,1.0,0.2005,-4.86375197111746
93,99.999,0.0,1.0,0.705,8.11092428077157
94,99.999,0.0,-1.0,1.4778,8.84524524641679
95,99.999,0.0,-1.0,1.4778,9.36454990791291
96,99.999,0.0,-1.0,1.4778,9.29529092042917
97,1168.0,0.0,1.0,0.2005,-5.9155942654648
98,1184.0,0.0,1.0,0.2005,-12.87513224846099
99,1184.0,0.0,1.0,0.2005,-9.18486731291422
100,1184.0,0.0,1.0,0.2005,-9.02079397868547
101,1627.0,0.0,-1.0,2.8182,161.14845294928412
102,1627.0,0.0,-1.0,0.8919,162.27577883107688
103,1184.0,,,,31.73471703613341
104,1184.0,,,,31.48837727074801
105,639.0,,,,160.32642832115934
106,639.0,,,,160.32642832115934
107,639.0,,,,160.32642832115934
108,724.0,0.0,-1.0,4.671,86.3893072402056
109,99.999,,,,14.82577018690177
110,1627.0,0.0,-1.0,2.8182,164.52881146367102
111,1579.0,0.0,-1.0,2.8182,159.77375461645676
112,606.0,0.0,-1.0,0.5964,-5.46088227537529
113,606.0,0.0,-1.0,0.5964,-3.17063323367683
114,99.999,,,,9.8410485989144
115,1184.0,0.0,-1.0,0.0999,32.14435130274531
116,1187.0,0.0,-1.0,0.0999,32.3076110284879
117,1186.0,0.0,1.0,0.2005,-9.61280948514117
118,99.999,0.0,-1.0,1.4778,9.1427066087259
119,1186.0,,,,32.36250754529099
120,1186.0,,,,32.44552115469585
121,1186.0,0.0,1.0,0.2005,-8.87147541830219
122,99.999,,,,7.58092499793278
123,99.999,,,,7.58092499793278
124,1038.0,,,,553.6055861039729
125,1186.0,0.0,-1.0,0.0999,29.81734546776114
126,1186.0,0.0,-1.0,0.0999,30.06282712170025
127,1186.0,,,,32.11692178150901
128,1186.0,0.0,-1.0,0.0999,32.44531965142892
129,606.0,0.0,-1.0,0.3984,25.6464573897856
130,606.0,0.0,-1.0,0.3984,26.10676007656171
131,435.0,0.0,-1.0,3.568,54.9266856751882
132,436.0,0.0,-1.0,3.568,48.6881560548089
133,446.0,0.0,-1.0,3.568,49.78410397005253
134,446.0,0.0,-1.0,2.3441,54.82290254177153
135,435.0,0.0,-1.0,3.4751,55.61538597759167
136,435.0,0.0,-1.0,2.3441,54.50432938611254
137,1186.0,0.0,-1.0,0.0999,29.32391871356964
138,1186.0,0.0,-1.0,0.0999,29.5707876330858
139,99.999,,,,8.66614701325727
140,581.0,0.0,1.0,4.9318,-4.27151124925184
141,438.0,0.0,-1.0,1.2835,53.66254188357946
142,316.0,0.0,-1.0,1.088,51.45156892395969
143,1184.0,0.0,1.0,0.09999999999999,29.19298261515325
144,1184.0,0.0,1.0,0.09999999999999,29.19267336273539
145,2164.0,0.0,-1.0,6.1033,513.9525957592807
146,435.0,0.0,-1.0,3.2879,54.5791753602718
147,99.999,,,,0.08397159622935
148,446.0,0.0,1.0,2.45899999999999,56.40948741776035
149,446.0,0.0,1.0,1.11220000000001,55.70459109510368
150,99.999,,,,9.47995797833373
151,1184.0,0.0,-1.0,0.3984,-6.48514424469957
152,435.0,0.0,-1.0,3.6606,54.56405622417792
153,435.0,0.0,-1.0,3.6606,54.56405622417792
154,545.0,0.0,-1.0,2.7233,64.18372826681716
155,1186.0,0.0,-1.0,0.0999,32.44531965142892
156,600.0,,,,24.93517431501131
157,607.0,0.0,-1.0,0.3984,29.59636104646249
158,1186.0,,,,32.69080445656736
159,99.999,0.0,-1.0,11.66080000000001,8.64399599573303
160,99.999,0.0,1.0,1.01,4.85186000849436
161,99.999,0.0,-1.0,11.66080000000001,8.64399599573303
162,99.999,0.0,1.0,1.01,4.85186000849436
163,99.999,,,,9.01829436772468
164,1186.0,,,,-8.46183946799512
165,1186.0,,,,-6.66038107585144
166,1184.0,0.0,1.0,0.09999999999999,29.35625007622711
167,1186.0,0.0,-1.0,0.0999,29.73444120277124
