,from_bus,to_bus
0,0,1
1,0,2
2,3,4
3,2,4
4,4,5
5,5,6
6,7,8
7,8,9
8,3,10
9,4,10
10,10,11
11,1,11
12,2,11
13,6,11
14,10,12
15,11,13
16,12,14
17,13,14
18,11,15
19,14,16
20,15,16
21,16,17
22,17,18
23,18,19
24,14,18
25,19,20
26,20,21
27,21,22
28,22,23
29,22,24
30,24,26
31,26,27
32,27,28
33,7,29
34,25,29
35,16,30
36,28,30
37,22,31
38,30,31
39,26,31
40,14,32
41,18,33
42,34,35
43,34,36
44,32,36
45,33,35
46,33,36
47,36,38
48,36,39
49,29,37
50,38,39
51,39,40
52,39,41
53,40,41
54,42,43
55,33,42
56,43,44
57,44,45
58,45,46
59,45,47
60,46,48
61,41,48
62,41,48
63,44,48
64,47,48
65,48,49
66,48,50
67,50,51
68,51,52
69,52,53
70,48,53
71,48,53
72,53,54
73,53,55
74,54,55
75,55,56
76,49,56
77,55,57
78,50,57
79,53,58
80,55,58
81,55,58
82,54,58
83,58,59
84,58,60
85,59,60
86,59,61
87,60,61
88,62,63
89,37,64
90,63,64
91,48,65
92,48,65
93,61,65
94,61,66
95,65,66
96,46,68
97,48,68
98,68,69
99,23,69
100,69,70
101,23,71
102,70,71
103,70,72
104,69,73
105,69,74
106,68,74
107,73,74
108,75,76
109,68,76
110,74,76
111,76,77
112,77,78
113,76,79
114,76,79
115,78,79
116,76,81
117,81,82
118,82,83
119,82,84
120,83,84
121,84,85
122,84,87
123,84,88
124,87,88
125,88,89
126,88,89
127,89,90
128,88,91
129,88,91
130,90,91
131,91,92
132,91,93
133,92,93
134,93,94
135,79,95
136,81,95
137,93,95
138,79,96
139,79,97
140,79,98
141,91,99
142,93,99
143,94,95
144,95,96
145,97,99
146,98,99
147,99,100
148,91,101
149,100,101
150,99,102
151,99,103
152,102,103
153,102,104
154,99,105
155,103,104
156,104,105
157,104,106
158,104,107
159,105,106
160,107,108
161,102,109
162,108,109
163,109,110
164,109,111
165,16,112
166,31,112
167,31,113
168,26,114
169,113,114
170,11,116
171,74,117
172,75,117
